149	ad	NOUN	78774169	B1	[]	an advertisement
150	adapt	VERB	4675567	B2	[CHANGE BEHAVIOUR]	to change your behaviour so that it is suitable for a new situation
151	adapt	VERB	4675567	B2	[CHANGE SOMETHING]	to change something so that it is suitable for a different use or situation
152	adaptation	NOUN	5314230	C1	[]	the process or act of changing to suit a new situation
153	add	VERB	387231739	A2	[PUT WITH]	to put something with something else
154	add	VERB	387231739	A2	[CALCULATE]	to put two or more numbers or amounts together to get a total
155	add	VERB	387231739	B1	[SAY MORE]	to say another thing
156	add	VERB	387231739	C2	[add insult to injury]	to make someone's bad situation worse by doing something else to upset them
157	addict	NOUN	2910117	B2	[]	a person who cannot stop doing or using something, especially something harmful
158	addicted	ADJECTIVE	2386786	B2	[DRUGS]	not able to stop taking a drug
159	addicted	ADJECTIVE	2386786	B2	[LIKING]	liking something very much
160	addiction	NOUN	9331004	B2	[]	when you cannot stop doing or taking something because you are addicted to it
161	addictive	ADJECTIVE	2309956	C1	[]	If something is addictive, it makes you want more of it so that you become addicted.
162	addition	NOUN	73434482	B1	[in addition (to)]	as well (as)
163	addition	NOUN	73434482	B2	[NEW THING]	a new or extra thing which is added to something
164	addition	NOUN	73434482	B2	[NUMBERS/AMOUNTS]	the process of adding numbers or amounts together in order to get a total
165	additional	ADJECTIVE	132187702	B2	[]	extra
166	additionally	ADVERB	8737401	B2	[]	in addition
167	address	NOUN	261872866	A1	[BUILDING DETAILS]	the details of where a building is, including the building number, road name, town, etc.
168	address	NOUN	261872866	A1	[ELECTRONIC]	a series of letters, numbers or punctuation marks referring to a website or email destination
169	address	VERB	261872866	C1	[DEAL WITH]	to deal with a problem
170	address	VERB	261872866	C2	[SPEAK]	to speak to someone, or to give a speech to an audience
171	address	VERB	261872866	C2	[BUILDING DETAILS]	to write a name and address on an envelope or parcel
172	adequate	ADJECTIVE	15023940	B2	[ENOUGH]	enough
173	adequate	ADJECTIVE	15023940	B2	[GOOD ENOUGH]	good enough, but not very good
174	adequately	ADVERB	4425890	B2	[]	in an adequate way
175	adjacent	ADJECTIVE	9869232	C2	[]	If two things are adjacent, they are next to each other.
176	adjective	NOUN	1177613	A2	[]	a word that describes a noun or pronoun
177	adjust	VERB	9115016	B2	[CHANGE]	to change something slightly so that it works better, fits better, or is more suitable
178	adjust	VERB	9115016	B2	[CHANGE BEHAVIOUR]	to change the way you behave or think in order to suit a new situation
179	adjustment	NOUN	12343670	B2	[]	a small change that you make to something so that it works better, fits better, or is more suitable
180	administration	NOUN	77515175	C1	[]	the work of organizing and arranging the operation of something, such as a company
181	administrative	ADJECTIVE	38339299	C1	[]	relating to the organization and management of something
182	administrator	NOUN	29589707	C1	[]	someone who helps to manage an organization
183	admiration	NOUN	1255669	B2	[]	when you admire someone or something
184	admire	VERB	2196307	B1	[LOOK AT]	to find someone or something attractive and pleasant to look at
185	admire	VERB	2196307	B2	[RESPECT]	to respect or approve of someone or something
186	admission	NOUN	16356727	B1	[MONEY]	the money that you pay to enter a place or an event
187	admission	NOUN	16356727	B2	[PERMISSION]	when someone is given permission to enter somewhere or to become a member of a club, university, etc.
188	admit	VERB	8780656	B1	[]	to agree that something is true, especially unwillingly
189	admittedly	ADVERB	1233033	B2	[]	used when you are agreeing that something is true although you do not want to
190	adolescent	NOUN	5577666	C2	[]	a young person who is between being a child and an adult
191	adopt	VERB	11272339	B2	[TAKE CHILD]	to legally become the parents of someone else's child
192	adopt	VERB	11272339	B2	[START]	to accept or start to use something new
193	adopted	ADJECTIVE	22972983	B2	[]	legally taken by another family to be looked after as their own child
194	adoption	NOUN	17860735	B2	[]	the process of legally becoming the parents of someone else's child
195	adult	NOUN	97583096	A1	[]	a person or animal that has grown to full size and strength
196	adult	ADJECTIVE	97583096	A2	[FOR ADULTS]	for or relating to adults
197	adult	ADJECTIVE	97583096	C1	[NOT A CHILD]	having finished growing
198	advance	NOUN	44738913	B1	[in advance]	before a particular time, or before doing a particular thing
199	advance	NOUN	44738913	B2	[PROGRESS]	new discoveries and inventions
200	advanced	ADJECTIVE	173422161	A2	[HIGHER LEVEL]	at a higher, more difficult level
201	advanced	ADJECTIVE	173422161	B1	[MODERN]	modern and well developed
202	advantage	NOUN	32963469	B1	[USEFUL THING]	something good about a situation that helps you
203	advantage	NOUN	32963469	B1	[take advantage of sth]	to use something good in a situation to help you
204	advantage	NOUN	32963469	B2	[take advantage of sb/sth]	to treat someone or something badly in order to get what you want
