blind	the blind	NOUN; PHRASE	people who are blind
blog		VERB	to write or add material to a blog
blood	make your blood run cold	NOUN; PHRASE	If something makes your blood run cold, it frightens you very much.
blow	blow it/your chance(s)	VERB; PHRASE	If you blow it or blow your chance, you lose an opportunity to do something by doing or saying the wrong thing.
blue		NOUN	a blue colour
blue	out of the blue	NOUN; PHRASE	If something happens out of the blue, it is completely unexpected.
body		NOUN	the main part of a person's or animal's body, without the head, arms and legs
boil		VERB	If a liquid boils, or if you boil it, it reaches the temperature where bubbles rise up in it and it produces steam.
boil		VERB	If a container of liquid boils, or if you boil it, it reaches the temperature where bubbles rise up in it and it produces steam.
born	be born	VERB; PHRASE	When a person or animal is born, they come out of their mother's body and start to exist.
born	be born	VERB; PHRASE	If an idea is born, it starts to exist.
bothered		ADJECTIVE	If you are bothered about something, it is important to you and you are worried about it.
brass		NOUN	the group of musical instruments made from brass
break		VERB	If you break a machine, object, etc., or if it breaks, it stops working because it is damaged.
breath	take your breath away	NOUN; PHRASE	If something takes your breath away, you feel surprise and admiration because it is so beautiful or exciting.
breath	under your breath	NOUN; PHRASE	If you say something under your breath, you say it very quietly so that other people cannot hear it.
bronze		NOUN	a bronze medal
bronze		ADJECTIVE	made of bronze
bronze		ADJECTIVE	being the colour of bronze
brown		NOUN	a brown colour
brush		NOUN	the action of using a brush
brush		VERB	to use a brush to clean or tidy something
brush	brush sth away/off, etc.	VERB; PHRASE	to move something somewhere using a brush or your hand
burn		VERB	If you burn something that you are cooking, you cook it too much and if something you are cooking burns, it cooks too much.
business	be none of sb's business	NOUN; PHRASE	If something is none of someone's business, they do not need to know about it, although they want to, because it does not affect them.
busy		ADJECTIVE	If you are busy, you are working hard, or giving your attention to a particular thing
busy		ADJECTIVE	A busy place is full of activity or people.
busy		ADJECTIVE	In a busy period, you have a lot of things to do.
by	by hand	PREPOSITION; PHRASE	done or made by a person instead of a machine
by	by far	PREPOSITION; PHRASE	by a great amount
by	by all accounts	PREPOSITION; PHRASE	as said by a lot of people
by	by law	PREPOSITION; PHRASE	If you have to do something by law, it is illegal not to do it.
catch		VERB	If the police catch a criminal, they find them and take them away.
century	the turn of the century	NOUN; PHRASE	the start of a new century
chance	stand a chance	NOUN; PHRASE	to have a chance of success or of achieving something
chance	blow it/your chance(s)	NOUN; PHRASE	If you blow it or blow your chance, you lose an opportunity to do something by doing or saying the wrong thing.
change	change your mind	VERB; PHRASE	to change a decision or opinion
change	a change of heart	NOUN; PHRASE	If you have a change of heart, you change your opinion or feelings about something.
charge		VERB	If the police charge someone, they accuse them officially of a crime.
charm		VERB	to attract someone or persuade someone to do something because of your charm
chatty		ADJECTIVE	A piece of writing that is chatty has a friendly and informal style.
chicken		NOUN	the meat of a chicken
chip		VERB	If several people chip in, they each give money to pay for something together.
chocolate	hot chocolate	NOUN; PHRASE	a sweet drink made with chocolate and hot milk
chronic		ADJECTIVE	A chronic illness or problem continues for a long time.
circle		VERB	to draw a circle around something
circle		VERB	to move in a circle, often around something
clash		VERB	If colours or styles clash, they do not look good together.
clash		VERB	If two events clash, they happen at the same time so that you cannot go to them both.
classic		ADJECTIVE	A classic book, film, etc. is one that has been popular for a long time and is considered to be of a high quality.
clear		ADJECTIVE	If something is clear, you can see through it.
clear		ADJECTIVE	A clear sky does not have any clouds.
clear	crystal clear	ADJECTIVE; PHRASE	extremely clear
click		VERB	If two people click, they like each other immediately.
climbing		NOUN	the sport of climbing mountains, hills or rocks
close		VERB	If something closes, it moves so that it is not open, and if you close something, you make it move so that it is not open.
close		ADJECTIVE	A close relative is someone who is directly related to you, for example, your mother, father or brother.
close	be close to sth	ADJECTIVE; PHRASE	If someone or something is close to a particular state, they are almost in that state.
cloud		NOUN	a mass of something such as dust or smoke that looks like a cloud
cloudy		ADJECTIVE	When it is cloudy, there are clouds in the sky.
coherent		ADJECTIVE	A coherent argument, plan, etc. is clear, and each part of it has been carefully considered.
coherent		ADJECTIVE	If someone is coherent, you can understand what they say.
coincide		VERB	When people's opinions or ideas coincide, they are the same.
cold	the cold	NOUN; PHRASE	cold weather or temperatures
cold	make your blood run cold	NOUN; PHRASE	If something makes your blood run cold, it frightens you very much.
collaborate		VERB	When two or more people collaborate, they work together to create or achieve the same thing.
colour		NOUN	the colour of a person's skin, which shows their race
colour		VERB	to make something a particular colour
comb		VERB	to tidy your hair using a comb
comfortable		ADJECTIVE	If you are comfortable in a situation, you do not have any worries about it.
comment		VERB	to make a comment
compare	compare notes	VERB; PHRASE	If two people compare notes, they tell each other what they think about something that they have both done.
compatible		ADJECTIVE	compatible equipment can be used together
compatible		ADJECTIVE	If people are compatible, they like each other and are happy to spend time together.
compatible		ADJECTIVE	compatible ideas or situations can exist together
compulsive		ADJECTIVE	A compulsive habit is something that you do a lot because you want to so much that you cannot control yourself.
compulsory		ADJECTIVE	If something is compulsory, you must do it because of a rule or law.
confidence	in confidence	NOUN; PHRASE	If you tell something to someone in confidence, you do not want them to tell anyone else.
construction		NOUN	The construction of a sentence or phrase is the way the words are arranged.
contradict		VERB	If two things that are said or written about something contradict each other, they are so different that they cannot both be true.
contradictory		ADJECTIVE	If two statements about the same subject or two actions by the same person are contradictory, they are very different.
control	beyond your/out of control	NOUN; PHRASE	If something or someone is beyond control or out of control, you cannot influence, limit or direct them.
conversation	hold a conversation	NOUN; PHRASE	to have a conversation
cooking		NOUN	preparing and cooking food, or a particular way of preparing and cooking food
cotton		NOUN	cloth or thread made from the fibres of the cotton plant
cough		NOUN	when you cough or an illness that makes you cough
count	Number	NOUN; PHRASE	when you count something, or the total number you get after counting
country	the country	NOUN; PHRASE	the people who live in a country
course	a matter of course	NOUN; PHRASE	If something happens as a matter of course, it always happens as part of the normal process or system.
credit	to sb's credit	NOUN; PHRASE	If something is to someone's credit, they deserve praise for it.
cross		NOUN	two pieces of wood that cross each other, on which people were left to die in the past as a punishment, or an object in this shape, used as a symbol of the Christian religion
crowded		ADJECTIVE	If a place is crowded, it is full of people.
cruise		VERB	to go on a cruise or boat trip
cry	cry your eyes out	VERB; PHRASE	If someone cries their eyes out, they cry a lot about a problem or situation.
cup		NOUN	a specially designed cup, usually with two handles and often made of silver, which is given as a prize in a sports competition, or a game or match in which the winner receives such a cup
cut		NOUN	an injury made when the skin is cut with something sharp
dance		NOUN	a social occasion at which people dance
dangerous		ADJECTIVE	If someone or something is dangerous, they could harm you.
date		VERB	to write or print the day's date on something
day		NOUN	the period during the day when there is light from the sun
dazzling		ADJECTIVE	A dazzling light is so bright that you cannot see for a short time after looking at it.
dead		ADJECTIVE	If a piece of equipment is dead, it is not working.
dead		ADJECTIVE	If a place is dead, it is too quiet and nothing interesting is happening there.
dead		ADJECTIVE	If part of your body is dead, you cannot feel it.
deaf	fall on deaf ears	ADJECTIVE; PHRASE	If advice or a request falls on deaf ears, people ignore it.
dear	dear to sb/sb's heart	ADJECTIVE; PHRASE	If something is dear to someone or dear to their heart, it is very important to them.
deceptive		ADJECTIVE	If something is deceptive, it makes you believe something that is not true.
deep		ADJECTIVE	A deep colour is strong and dark.
deep		ADJECTIVE	A deep feeling or experience is very strong.
deep		ADJECTIVE	A deep sound is low.
deep	deep down	ADVERB; PHRASE	If you know or feel something deep down, you are certain that it is true, or you feel it strongly although you do not admit it or show it.
deep	go/run deep	ADVERB; PHRASE	If a feeling or a problem goes deep, it is very strong or serious and has existed for a long time.
depressed		ADJECTIVE	A depressed country, area, or economy does not have enough jobs or business activity.
deserted		ADJECTIVE	If a place is deserted, it has no people in it.
deserve		VERB	If you deserve something good or bad, it should happen to you because of the way you have behaved.
designer		ADJECTIVE	made by a famous or fashionable designer
desperate		ADJECTIVE	A desperate situation is very serious or bad.
detached		ADJECTIVE	a detached building is one that is not joined to another building
detached		ADJECTIVE	If someone is detached, they do not feel involved with someone or emotional about something.
develop		VERB	If you develop an illness or problem, or if it develops, you start to suffer from it.
difference	tell the difference	NOUN; PHRASE	to notice a difference between two things
difficult	put sb in a difficult position	ADJECTIVE; PHRASE	to cause someone to be in a difficult situation
dignity	beneath your dignity	NOUN; PHRASE	If it is beneath your dignity to do something, you think you are too important or from too high a class to do it.
display	on display	NOUN; PHRASE	If something is on display, it is there for people to look at.
dissolve		VERB	If a solid dissolves, it becomes part of a liquid, and if you dissolve it, you make it become part of a liquid.
distant		ADJECTIVE	A distant relative is not very closely related to you.
distinctive		ADJECTIVE	Something that is distinctive is easy to recognize because it is different from other things.
dive		VERB	If you dive into water, you enter it head-first with your arms held out above your head.
divided		ADJECTIVE	If a group, organization or country is divided, there are disagreements among the people in it.
do	Do you mind ...?	AUXILIARY VERB; PHRASE	something you say when politely asking if you can do something, or when asking someone else to do something
do	do your utmost	VERB; PHRASE	to try as hard as you can to do something
do	can't/couldn't very well do sth	VERB; PHRASE	used to say that something is not a suitable or practical thing to do
doubt	beyond/without a/the shadow of a doubt	NOUN; PHRASE	If something is true beyond a shadow of a doubt, it is certainly true.
down	down to earth	ADVERB; PHRASE	People or ideas that are down to earth are practical and work well.
down	down the drain	PREPOSITION; PHRASE	If money or work goes down the drain, it is wasted.
down		ADJECTIVE	If a computer or machine is down, it is temporarily not working.
drain	down the drain	NOUN; PHRASE	If money or work goes down the drain, it is wasted.
draw	draw the line (at sth)	VERB; PHRASE	If someone says they know where to draw the line, they are talking about knowing at what point an activity or situation becomes unacceptable because it is wrong or too extreme
drink		VERB	to drink alcohol
dry		ADJECTIVE	If a book, talk, or subject is dry, it is not interesting.
dry		VERB	to become dry, or to make something become dry
duck	be (like) water off a duck's back	NOUN; PHRASE	If criticisms, insults, etc. are like water off a duck's back to you, they do not affect you at all.
due	be due for sth	ADJECTIVE; PHRASE	If you are due for something, it should happen very soon.
due		ADJECTIVE	Something that is due to you is something that is owed to you or something you deserve.
duty	on/off duty	NOUN; PHRASE	If someone such as a doctor or a soldier is on duty, they are working, and if they are off duty, they are not working.
each	each other	PRONOUN; PHRASE	used to show that each person in a group of two or more people does something to the others
earth	down to earth	NOUN; PHRASE	People or ideas that are down to earth are practical and work well.
ease		NOUN	If you do something with ease, it is easy for you to do it.
east	the east	NOUN; PHRASE	the part of an area that is further towards the east than the rest
east		ADJECTIVE	in or forming the east part of something
east		ADVERB	towards the east
educated		ADJECTIVE	Someone who is educated has learned a lot at school or in college and has a good level of knowledge.
elderly	the elderly	NOUN; PHRASE	people who are elderly
eligible		ADJECTIVE	If you are eligible to do something, you can do it because you are in the right situation.
email		VERB	to send a message using email
embrace		VERB	If you embrace someone, you put your arms around them, and if two people embrace, they put their arms around each other.
empty		ADJECTIVE	If something is empty, it does not contain any things or people.
end	not be the end of the world	NOUN; PHRASE	If something is not the end of the world, it will not cause very serious problems.
end	to/till/until the bitter end	NOUN; PHRASE	If you do something to/till/until the bitter end, you continue it until it is finished, although it is difficult and takes a long time.
engaged		ADJECTIVE	If a telephone or public toilet is engaged, someone is already using it.
enjoyable		ADJECTIVE	An enjoyable event or experience gives you pleasure.
escape	a narrow escape	NOUN; PHRASE	If you have a narrow escape, you only just avoid danger.
everything	do everything in your power to do sth	PRONOUN; PHRASE	to do everything that you are able and allowed to do in order to achieve something
example	for example	NOUN; PHRASE	used to give an example of the type of thing you mean
example	a/the prime example	NOUN; PHRASE	a very good example of something
exchange	exchange looks, opinions, views, etc.	VERB; PHRASE	If two people exchange looks, opinions, views, etc., they look at each other, talk to each other, etc.
exhaust		NOUN	(exhaust pipe) the pipe that waste gas from a vehicle's engine flows through
expense	at the expense of sth	NOUN; PHRASE	If you do one thing at the expense of another, doing the first thing harms the second thing.
experience		VERB	If you experience something, it happens to you, or you feel it.
experiment		VERB	to do an experiment
explode		VERB	If something such as a bomb explodes, it bursts with noise and force, and if you explode it, you make it burst with noise and force.
explosive		ADJECTIVE	An explosive substance or piece of equipment can cause explosions.
explosive		ADJECTIVE	An explosive situation or subject causes strong feelings, and may make people angry or violent.
extinct		ADJECTIVE	If a type of animal is extinct, it does not now exist.
eye	see eye to eye (with sb)	NOUN; PHRASE	If two people see eye to eye, they agree with each other.
eye	the naked eye	NOUN; PHRASE	If something can be seen by the naked eye, it is big enough to be seen without special equipment.
face	make a face	NOUN; PHRASE	to show with your face that you do not like someone or something
face	at face value	NOUN; PHRASE	If you accept something at face value because of the way it first looks or seems, you do so without thinking carefully about it.
face		VERB	If you face a problem, or a problem faces you, you have to deal with it.
fair	fair play	ADJECTIVE; PHRASE	behaviour that is fair, honest, and does not take advantage of people
fairly		ADVERB	If you do something fairly, you do it in a way which is right and reasonable and treats people equally.
faithful		ADJECTIVE	If your husband, wife, or partner is faithful, they do not have a sexual relationship with anyone else.
fall	fall into place	VERB; PHRASE	When events or details that you did not understand before fall into place, they become easy to understand.
family		NOUN	the children of a family
fat		ADJECTIVE	Someone who is fat weighs too much.
fatal		ADJECTIVE	A fatal illness or accident causes death.
fault	sb's fault	NOUN; PHRASE	If something bad that has happened is someone's fault, they are responsible for it.
favour	in sb's favour	NOUN; PHRASE	If something is in your favour, it helps you to win or succeed.
favour	in favour of sb/sth	NOUN; PHRASE	If you refuse or get rid of someone or something in favour of someone or something else, you choose them instead.
fax		VERB	to send a document using a fax machine
feel	feel sorry for	VERB; PHRASE	to feel sympathy for someone because they are in a difficult situation
feel	feel at home	VERB; PHRASE	to feel happy and confident in a place or situation
feel	feel compelled to do sth	VERB; PHRASE	to feel that you should do something
feel	feel faint	VERB; PHRASE	to feel very weak and as if you might fall down
female		NOUN	a female animal or person
fill		VERB	If people or things fill a space, there are a lot of them in it.
film		VERB	to record moving pictures with a camera, usually to make a film
final		ADJECTIVE	If a decision, agreement, or answer is final, it will not be changed or discussed any more.
find	find common ground	VERB; PHRASE	to find shared beliefs, interests or ideas
fire	on fire	NOUN; PHRASE	If something is on fire, it is burning when it should not be.
fire		NOUN	a small controlled fire that is used for heating or cooking
first	at first sight	ADJECTIVE; PHRASE	when you first see or hear about something or someone
first	first of all	ADVERB; PHRASE	used to introduce the first idea, reason, etc. in a series
first		ADVERB	used to introduce the first idea, reason, etc. in a series
first		ADVERB	for the first time
first	the first	NOUN; PHRASE	the first person or thing to do or be something, or the first person or thing mentioned
fish		NOUN	fish eaten as food
fish		VERB	to try to catch fish
fit	fit (sth) in/into/through/under, etc.	VERB; PHRASE	If people or things fit somewhere, or if you can fit them somewhere, that place is big enough for them.
fixed		ADJECTIVE	If your eyes are fixed on something, you are looking at it continuously.
flat		ADJECTIVE	If a tyre, ball, etc. is flat, it does not contain enough air.
flat		ADJECTIVE	If a drink is flat, it does not contain enough bubbles of gas.
flat	fall flat	ADVERB; PHRASE	If an event or joke falls flat, it fails to have the effect that you wanted, such as making people laugh.
fold		VERB	If you fold paper, cloth, etc., you bend it so that one part of it lies flat on top of another part.
football		NOUN	a large ball made of leather or plastic and filled with air, used in games of football
for		PREPOSITION	in exchange for something, especially an amount of money
for	for fun or for the fun of it	PREPOSITION; PHRASE	for pleasure and not for any other reason
for	for instance	PREPOSITION; PHRASE	for example
for	for the moment	PREPOSITION; PHRASE	If you do something for the moment, you are doing it now, but might do something different in the future.
for	for life	PREPOSITION; PHRASE	for the whole of someone's life
for	for long	PREPOSITION; PHRASE	for a long time
for	for the time being	PREPOSITION; PHRASE	for now but not permanently
for	for the best	PREPOSITION; PHRASE	If something is for the best, it seems unpleasant now, but will improve a situation in the future.
for	for one thing	PREPOSITION; PHRASE	used to give a reason for something
force	in/into force	NOUN; PHRASE	If a law, rule, etc. is in force, it is being used, and if it comes into force, it starts to be used.
form	be on (good) form	NOUN; PHRASE	If someone is in form or on form, they are feeling or performing well, and if they are off form they are not feeling or performing well.
forthcoming		ADJECTIVE	If money or help is forthcoming, it is offered or given.
foundation	be without foundation; have no foundation	NOUN; PHRASE	If something is without foundation, there is no proof that it is true.
from	from side to side	PREPOSITION; PHRASE	If something moves from side to side, it moves from left to right and back again repeatedly.
from	from start to finish	PREPOSITION; PHRASE	from the beginning of something to its end
from	from scratch	PREPOSITION; PHRASE	If you do something from scratch, you do it from the beginning.
front	in front of sth/sb	NOUN; PHRASE	close to the front part of something, or where someone can see or hear you
front	back to front	NOUN; PHRASE	with the back part of something where the front should be
front		ADJECTIVE	in or at the front of something
frown		NOUN	the expression on your face when you frown
